issue,title,validator comment,status,size,Best
validation-72,QA Report,,Unsatisfactory,4,
validation-112,QA Report,,Unsatisfactory,5,
validation-41,Gas Optimizations,,Unsatisfactory,6,
findings-7,QA Report,,Satisfactory,6,
validation-42,QA Report,,Satisfactory,7,
validation-58,Gas Optimizations,,Unsatisfactory,18,
validation-117,Gas Optimizations,,Unsatisfactory,23,
validation-88,QA Report,,Unsatisfactory,23,
validation-125,QA Report,,Unsatisfactory,28,
validation-113,QA Report,,Satisfactory,45,
validation-116,QA Report,,Unsatisfactory,56,
validation-53,QA Report,,Satisfactory,61,
validation-27,Gas Optimizations,,Unsatisfactory,129,
validation-124,QA Report,,Satisfactory,130,
validation-67,QA Report,,Satisfactory,138,
validation-13,QA Report,,Satisfactory,150,
validation-99,QA Report,,Satisfactory,159,
validation-120,QA Report,,Satisfactory,227,
validation-12,QA Report,,Satisfactory,249,
validation-85,QA Report,,Satisfactory,332,
validation-51,QA Report,,Satisfactory,544,
validation-52,QA Report,,Satisfactory,824,
validation-5,Gas Optimizations,,Unsatisfactory,1474,
validation-4,QA Report,,Unsatisfactory,7423,
validation-97,QA Report,,Unsatisfactory,11,
validation-105,QA Report,,Satisfactory,15,
validation-60,QA Report,,Unsatisfactory,23,
validation-29,QA Report,,Unsatisfactory,25,
validation-39,QA Report,,Satisfactory,234,